     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.250;           0.000;           0.000;         16;         33;          88.638;          31.273;          34.000;          31.429;           0.480 ( 1.527 %);   3884.023
   UNROLL4;           0.250;           0.000;           0.000;         16;         33;        1000.202;          67.697;          71.364;          68.208;           0.589 ( 0.864 %);   1789.690
   UNROLL8;           0.250;           0.000;           0.000;         16;         33;          63.424;          68.000;          70.455;          68.273;           0.456 ( 0.668 %);   1787.981
     CBLAS;           0.250;           0.000;           0.000;         16;         33;          45.850;          47.333;          95.333;          49.082;           8.304 (16.918 %);   2487.083
