     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          64.000;           0.062;           0.000;       4096;         33;       50824.224;        3017.182;        3128.909;        3024.308;          26.944 ( 0.891 %);  10332.944
   UNROLL4;          64.000;           0.062;           0.000;       4096;         33;       37491.511;        3016.879;        3119.182;        3020.828;          17.733 ( 0.587 %);  10344.845
   UNROLL8;          64.000;           0.062;           0.000;       4096;         33;       38420.300;        3016.848;        3104.636;        3020.083;          15.179 ( 0.503 %);  10347.399
     CBLAS;          64.000;           0.062;           0.000;       4096;         33;       48902.337;         771.727;         837.939;         773.766;          11.520 ( 1.489 %);  40386.895
