     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.250;           0.000;           0.000;         16;         33;          71.013;          15.788;          23.364;          16.643;           1.232 ( 7.401 %);   7334.726
   UNROLL4;           0.250;           0.000;           0.000;         16;         33;        3290.510;          11.212;          15.485;          11.529;           0.753 ( 6.535 %);  10588.178
   UNROLL8;           0.250;           0.000;           0.000;         16;         33;          68.898;          10.000;          12.152;          10.193;           0.389 ( 3.820 %);  11976.087
     CBLAS;           0.250;           0.000;           0.000;         16;         33;          91.266;          34.909;          81.061;          36.532;           7.997 (21.890 %);   3341.492
