     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1024.000;           1.000;           0.001;      65536;         33;    77426062.891;       48613.333;       49107.273;       48748.110;         144.607 ( 0.297 %);  10256.808
   UNROLL4;        1024.000;           1.000;           0.001;      65536;         33;      801655.467;       48661.000;       48906.939;       48767.392;          83.997 ( 0.172 %);  10252.752
   UNROLL8;        1024.000;           1.000;           0.001;      65536;         33;      617103.502;       48613.333;       48836.485;       48678.008;          68.484 ( 0.141 %);  10271.579
     CBLAS;        1024.000;           1.000;           0.001;      65536;         33;      733426.291;       19168.091;       34373.879;       20160.386;        3013.332 (14.947 %);  24801.113
