     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          32.000;           0.031;           0.000;       2048;         33;       49047.560;        1508.273;        1619.697;        1511.826;          19.367 ( 1.281 %);  10335.181
   UNROLL4;          32.000;           0.031;           0.000;       2048;         33;       16554.392;        1496.727;        1598.455;        1500.151;          17.724 ( 1.181 %);  10415.621
   UNROLL8;          32.000;           0.031;           0.000;       2048;         33;       13737.938;        1497.061;        1598.758;        1500.511;          17.638 ( 1.175 %);  10413.122
     CBLAS;          32.000;           0.031;           0.000;       2048;         33;       23576.409;         391.939;         442.636;         393.586;           8.807 ( 2.238 %);  39699.089
