     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1024.000;           1.000;           0.001;      65536;         33;      723988.076;       24311.364;       25008.152;       24405.092;         137.760 ( 0.564 %);  20487.528
   UNROLL4;        1024.000;           1.000;           0.001;      65536;         33;      785606.387;       10803.909;       11015.818;       10860.184;          60.901 ( 0.561 %);  46039.737
   UNROLL8;        1024.000;           1.000;           0.001;      65536;         33;     2805471.359;       14096.152;       14412.485;       14166.139;          78.550 ( 0.554 %);  35295.433
     CBLAS;        1024.000;           1.000;           0.001;      65536;         33;     1040144.424;       18410.000;       18973.182;       18662.122;         130.671 ( 0.700 %);  26792.237
