     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.000;           0.001;           0.000;         64;         33;        1031.310;          15.758;          24.576;          16.163;           1.523 ( 9.423 %);  30208.970
   UNROLL4;           1.000;           0.001;           0.000;         64;         33;         358.704;          20.030;          23.970;          20.377;           0.663 ( 3.254 %);  23961.889
   UNROLL8;           1.000;           0.001;           0.000;         64;         33;         402.833;          20.333;          23.697;          20.718;           0.562 ( 2.710 %);  23567.870
     CBLAS;           1.000;           0.001;           0.000;         64;         33;         493.567;          53.121;         124.788;          55.531;          12.434 (22.392 %);   8792.987
