     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           8.000;           0.008;           0.000;        512;         33;        3445.881;         178.515;         181.879;         178.655;           0.587 ( 0.329 %);  21864.800
   UNROLL4;           8.000;           0.008;           0.000;        512;         33;        3851.502;         176.697;         183.091;         177.184;           1.092 ( 0.617 %);  22046.334
   UNROLL8;           8.000;           0.008;           0.000;        512;         33;        5299.141;         111.091;         113.545;         111.431;           0.405 ( 0.364 %);  35055.429
     CBLAS;           8.000;           0.008;           0.000;        512;         33;        6780.700;         241.667;         296.636;         243.571;           9.527 ( 3.911 %);  16037.407
