     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          64.000;           0.062;           0.000;       4096;         33;       53964.259;        3016.545;        3189.000;        3028.880;          39.393 ( 1.301 %);  10317.346
   UNROLL4;          64.000;           0.062;           0.000;       4096;         33;       47092.016;        3016.545;        3144.091;        3027.388;          31.179 ( 1.030 %);  10322.431
   UNROLL8;          64.000;           0.062;           0.000;       4096;         33;       54592.579;        3016.879;        3128.909;        3026.525;          29.836 ( 0.986 %);  10325.372
     CBLAS;          64.000;           0.062;           0.000;       4096;         33;       33891.657;         771.455;         819.424;         773.176;           8.303 ( 1.074 %);  40417.690
