     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;         33;         548.368;          39.152;          51.303;          39.560;           2.111 ( 5.337 %);  24685.512
   UNROLL4;           2.000;           0.002;           0.000;        128;         33;        1044.200;          39.152;          43.727;          39.597;           0.753 ( 1.901 %);  24662.614
   UNROLL8;           2.000;           0.002;           0.000;        128;         33;         910.866;          19.727;          21.545;          20.043;           0.288 ( 1.439 %);  48722.984
     CBLAS;           2.000;           0.002;           0.000;        128;         33;         667.716;          79.818;         143.909;          81.871;          11.138 (13.605 %);  11928.133
