     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;         33;        8481.271;         747.455;         748.970;         747.739;           0.255 ( 0.034 %);  10448.161
   UNROLL4;          16.000;           0.016;           0.000;       1024;         33;        6538.194;         737.727;         738.636;         737.940;           0.198 ( 0.027 %);  10586.900
   UNROLL8;          16.000;           0.016;           0.000;       1024;         33;        9442.037;         737.727;         738.364;         737.886;           0.169 ( 0.023 %);  10587.677
     CBLAS;          16.000;           0.016;           0.000;       1024;         33;        6568.251;         202.485;         234.667;         203.598;           5.579 ( 2.740 %);  38372.223
