     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;         512.000;           0.500;           0.000;      32768;         33;      846176.786;       24309.848;       24632.879;       24381.888;          82.355 ( 0.338 %);  10253.513
   UNROLL4;         512.000;           0.500;           0.000;      32768;         33;      403858.965;       24296.182;       24866.939;       24373.406;         117.377 ( 0.482 %);  10257.081
   UNROLL8;         512.000;           0.500;           0.000;      32768;         33;      438017.448;       24296.182;       24529.061;       24342.679;          74.206 ( 0.305 %);  10270.028
     CBLAS;         512.000;           0.500;           0.000;      32768;         33;      303208.070;        6092.061;        6216.818;        6113.344;          41.936 ( 0.686 %);  40894.147
