     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;         33;         682.175;          82.576;          84.121;          82.828;           0.271 ( 0.327 %);  11790.206
   UNROLL4;           2.000;           0.002;           0.000;        128;         33;         546.581;         163.939;         164.848;         164.219;           0.159 ( 0.097 %);   5946.691
   UNROLL8;           2.000;           0.002;           0.000;        128;         33;         565.468;          72.848;          76.818;          73.047;           0.689 ( 0.943 %);  13368.992
     CBLAS;           2.000;           0.002;           0.000;        128;         33;         652.651;          81.364;         132.061;          83.149;           8.782 (10.561 %);  11744.763
