     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          32.000;           0.031;           0.000;       2048;         33;       28263.255;        5558.606;        5845.515;        5582.090;          60.709 ( 1.088 %);   2799.131
   UNROLL4;          32.000;           0.031;           0.000;       2048;         33;       39148.073;        5589.576;        5745.636;        5599.018;          34.193 ( 0.611 %);   2790.668
   UNROLL8;          32.000;           0.031;           0.000;       2048;         33;       21349.674;        5576.818;        5689.182;        5583.211;          21.675 ( 0.388 %);   2798.569
     CBLAS;          32.000;           0.031;           0.000;       2048;         33;       16965.826;         395.273;         449.303;         397.100;           9.373 ( 2.360 %);  39347.762
