     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          32.000;           0.031;           0.000;       2048;         33;       14322.652;        1496.727;        1548.364;        1500.022;          12.339 ( 0.823 %);  10416.514
   UNROLL4;          32.000;           0.031;           0.000;       2048;         33;       16256.426;        1497.030;        1559.000;        1500.841;          13.590 ( 0.906 %);  10410.829
   UNROLL8;          32.000;           0.031;           0.000;       2048;         33;       22388.101;        1496.758;        1608.758;        1500.815;          19.378 ( 1.291 %);  10411.007
     CBLAS;          32.000;           0.031;           0.000;       2048;         33;       14606.352;         391.636;         435.061;         393.088;           7.536 ( 1.917 %);  39749.353
