     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           4.000;           0.004;           0.000;        256;         33;        1301.539;         375.576;         380.697;         377.090;           0.703 ( 0.186 %);   5179.467
   UNROLL4;           4.000;           0.004;           0.000;        256;         33;        1481.480;         167.273;         170.030;         167.725;           0.551 ( 0.328 %);  11644.775
   UNROLL8;           4.000;           0.004;           0.000;        256;         33;        2344.250;         375.576;         377.091;         376.942;           0.338 ( 0.090 %);   5181.498
     CBLAS;           4.000;           0.004;           0.000;        256;         33;        2659.050;          59.182;          94.727;          60.361;           6.171 (10.223 %);  32357.463
