     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          64.000;           0.062;           0.000;       4096;         33;       38393.115;        1510.697;        1583.879;        1517.677;          18.975 ( 1.250 %);  20590.682
   UNROLL4;          64.000;           0.062;           0.000;       4096;         33;       38756.632;         623.909;         627.848;         624.661;           0.661 ( 0.106 %);  50027.122
   UNROLL8;          64.000;           0.062;           0.000;       4096;         33;       33970.311;         876.788;         880.152;         877.836;           0.893 ( 0.102 %);  35598.920
     CBLAS;          64.000;           0.062;           0.000;       4096;         33;       41034.677;         772.333;         827.939;         774.145;           9.658 ( 1.248 %);  40367.110
