     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;         33;         642.242;         333.939;         339.121;         334.797;           0.884 ( 0.264 %);   2916.879
   UNROLL4;           2.000;           0.002;           0.000;        128;         33;         864.315;         330.606;         331.848;         330.814;           0.238 ( 0.072 %);   2952.002
   UNROLL8;           2.000;           0.002;           0.000;        128;         33;        1215.858;         328.182;         328.788;         328.302;           0.162 ( 0.049 %);   2974.585
