     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1024.000;           1.000;           0.001;      65536;         33;      844572.761;       48636.394;       49402.364;       48776.013;         155.019 ( 0.318 %);  10250.940
   UNROLL4;        1024.000;           1.000;           0.001;      65536;         33;     1174242.634;       48613.606;       48840.424;       48704.325;          71.353 ( 0.147 %);  10266.029
   UNROLL8;        1024.000;           1.000;           0.001;      65536;         33;      840879.207;       48613.636;       48742.970;       48658.006;          38.007 ( 0.078 %);  10275.801
     CBLAS;        1024.000;           1.000;           0.001;      65536;         33;     1318680.080;       17785.788;       28786.424;       19729.028;        3531.803 (17.902 %);  25343.368
