     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.500;           0.000;           0.000;         32;         33;         920.266;          72.848;          75.909;          73.104;           0.526 ( 0.719 %);   3339.645
   UNROLL4;           0.500;           0.000;           0.000;         32;         33;         133.661;         155.121;         157.545;         155.388;           0.511 ( 0.329 %);   1571.173
   UNROLL8;           0.500;           0.000;           0.000;         32;         33;         201.952;          67.697;          68.939;          67.988;           0.216 ( 0.317 %);   3590.934
     CBLAS;           0.500;           0.000;           0.000;         32;         33;         189.718;          54.636;         104.727;          56.293;           8.696 (15.448 %);   4336.968
