     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;         128.000;           0.125;           0.000;       8192;         33;      404447.367;        6069.242;        6462.727;        6094.924;          75.828 ( 1.244 %);  10254.435
   UNROLL4;         128.000;           0.125;           0.000;       8192;         33;       57816.452;        6057.424;        6169.152;        6067.059;          30.628 ( 0.505 %);  10301.532
   UNROLL8;         128.000;           0.125;           0.000;       8192;         33;      107119.323;        6057.424;        6287.545;        6072.283;          49.788 ( 0.820 %);  10292.669
     CBLAS;         128.000;           0.125;           0.000;       8192;         33;      110187.008;        1532.273;        1594.182;        1537.613;          16.450 ( 1.070 %);  40647.408
