     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;         128.000;           0.125;           0.000;       8192;         33;       88144.932;        6056.515;        6452.424;        6079.195;          74.164 ( 1.220 %);  10280.967
   UNROLL4;         128.000;           0.125;           0.000;       8192;         33;       69975.798;        6056.515;        6291.788;        6076.221;          50.019 ( 0.823 %);  10285.998
   UNROLL8;         128.000;           0.125;           0.000;       8192;         33;      103363.115;        6057.121;        6184.030;        6064.455;          28.911 ( 0.477 %);  10305.956
     CBLAS;         128.000;           0.125;           0.000;       8192;         33;       74349.461;        1531.636;        1633.667;        1537.357;          21.818 ( 1.419 %);  40654.182
