CBLAS ; MiB/s ; n
clang0 ; 2650.528 ; 8
clang0 ; 3687.710 ; 16
clang0 ; 4450.438 ; 32
clang0 ;  ; 64
clang0 ; 10750.114 ; 128
clang0 ; 10499.843 ; 256
clang0 ; 10393.379 ; 512
clang0 ; 10336.506 ; 1024
clang0 ; 10231.141 ; 2048
clang0 ; 10237.835 ; 4096
clang0 ; 10247.827 ; 8192
clang0 ; 10248.113 ; 16384
clang0 ; 10250.101 ; 32768
clang0 ; 10241.073 ; 65536
