CBLAS ; MiB/s ; n
gcc1 ; 8199.764 ; 8
gcc1 ; 10206.893 ; 16
gcc1 ; 8926.276 ; 32
gcc1 ; 16340.564 ; 64
gcc1 ; 5913.262 ; 128
gcc1 ; 5154.950 ; 256
gcc1 ; 10900.688 ; 512
gcc1 ; 10581.093 ; 1024
gcc1 ; 10398.270 ; 2048
gcc1 ; 10328.810 ; 4096
gcc1 ; 10296.346 ; 8192
gcc1 ; 10257.902 ; 16384
gcc1 ; 10266.140 ; 32768
gcc1 ; 10244.604 ; 65536
