CBLAS ; MiB/s ; n
gcc0 ; 1575.129 ; 8
gcc0 ; 1483.165 ; 16
gcc0 ; 3014.902 ; 32
gcc0 ; 2911.831 ; 64
gcc0 ; 2855.070 ; 128
gcc0 ; 2829.061 ; 256
gcc0 ; 2809.231 ; 512
gcc0 ; 2799.755 ; 1024
gcc0 ; 2791.975 ; 2048
gcc0 ; 2794.022 ; 4096
gcc0 ; 2793.109 ; 8192
gcc0 ; 2794.389 ; 16384
gcc0 ; 2796.132 ; 32768
gcc0 ; 2795.760 ; 65536
