CBLAS ; MiB/s ; n
clang3 ; 6306.792 ; 8
clang3 ; 9607.181 ; 16
clang3 ; 8738.222 ; 32
clang3 ; 7160.494 ; 64
clang3 ; 13411.140 ; 128
clang3 ; 11624.346 ; 256
clang3 ; 10866.355 ; 512
clang3 ; 10563.987 ; 1024
clang3 ; 10385.913 ; 2048
clang3 ; 10308.982 ; 4096
clang3 ; 10281.498 ; 8192
clang3 ; 10264.754 ; 16384
clang3 ; 10241.262 ; 32768
clang3 ; 10230.765 ; 65536
