CBLAS ; MiB/s ; n
clang1 ; 6745.893 ; 8
clang1 ; 9699.006 ; 16
clang1 ; 20014.238 ; 32
clang1 ; 16334.540 ; 64
clang1 ; 5971.065 ; 128
clang1 ; 11647.326 ; 256
clang1 ; 10896.193 ; 512
clang1 ; 10575.293 ; 1024
clang1 ; 10394.065 ; 2048
clang1 ; 10333.672 ; 4096
clang1 ; 10297.678 ; 8192
clang1 ; 10278.699 ; 16384
clang1 ; 10261.652 ; 32768
clang1 ; 10242.540 ; 65536
