CBLAS ; MiB/s ; n
gcc3 ; 2244.379 ; 8
gcc3 ; 4110.404 ; 16
gcc3 ; 4924.323 ; 32
gcc3 ; 5282.623 ; 64
gcc3 ; 4891.639 ; 128
gcc3 ; 4723.781 ; 256
gcc3 ; 10443.544 ; 512
gcc3 ; 10342.525 ; 1024
gcc3 ; 10297.646 ; 2048
gcc3 ; 10258.797 ; 4096
gcc3 ; 10263.575 ; 8192
gcc3 ; 10255.555 ; 16384
gcc3 ; 10245.672 ; 32768
gcc3 ; 10242.388 ; 65536
