UNROLL8 ; MiB/s ; n
gcc1 ; 2534.344 ; 8
gcc1 ; 1286.285 ; 16
gcc1 ; 700.484 ; 32
gcc1 ; 338.186 ; 64
gcc1 ; 167.123 ; 128
