UNROLL8 ; MiB/s ; n
clang2 ; 2538.966 ; 8
clang2 ; 1074.668 ; 16
clang2 ; 665.640 ; 32
clang2 ; 352.286 ; 64
clang2 ; 179.754 ; 128
