IKJ ; MiB/s ; n
gcc1 ; 1046.265 ; 8
gcc1 ; 753.130 ; 16
gcc1 ; 432.397 ; 32
gcc1 ; 232.447 ; 64
gcc1 ; 154.329 ; 128
