IEX ; MiB/s ; n
gcc3 ; 3968.788 ; 8
gcc3 ; 2810.980 ; 16
gcc3 ; 1557.634 ; 32
gcc3 ; 813.386 ; 64
gcc3 ; 457.960 ; 128
