UNROLL4 ; MiB/s ; n
clang3 ; 1794.074 ; 8
clang3 ; 1294.946 ; 16
clang3 ; 701.469 ; 32
clang3 ; 367.564 ; 64
clang3 ; 188.367 ; 128
