IKJ ; MiB/s ; n
gcc2 ; 1506.973 ; 8
gcc2 ; 591.623 ; 16
gcc2 ; 298.040 ; 32
gcc2 ; 178.081 ; 64
gcc2 ; 111.807 ; 128
