UNROLL8 ; MiB/s ; n
gcc3 ; 3109.744 ; 8
gcc3 ; 2160.971 ; 16
gcc3 ; 1206.247 ; 32
gcc3 ; 664.226 ; 64
gcc3 ; 347.980 ; 128
