IEX ; MiB/s ; n
gcc1 ; 968.415 ; 8
gcc1 ; 1088.749 ; 16
gcc1 ; 657.744 ; 32
gcc1 ; 336.533 ; 64
gcc1 ; 154.351 ; 128
