CBLAS ; MiB/s ; n
gcc2 ; 2385.675 ; 8
gcc2 ; 1786.768 ; 16
gcc2 ; 1015.189 ; 32
gcc2 ; 928.770 ; 64
gcc2 ; 487.080 ; 128
