IJK ; MiB/s ; n
gcc1 ; 2360.816 ; 8
gcc1 ; 1169.876 ; 16
gcc1 ; 490.904 ; 32
gcc1 ; 216.659 ; 64
gcc1 ; 60.501 ; 128
