UNROLL8 ; MiB/s ; n
gcc2 ; 2504.325 ; 8
gcc2 ; 1645.363 ; 16
gcc2 ; 851.588 ; 32
gcc2 ; 429.627 ; 64
gcc2 ; 197.330 ; 128
