IKJ ; MiB/s ; n
gcc0 ; 269.911 ; 8
gcc0 ; 137.043 ; 16
gcc0 ; 69.323 ; 32
gcc0 ; 34.849 ; 64
gcc0 ; 17.211 ; 128
