UNROLL4 ; MiB/s ; n
clang1 ; 2500.556 ; 8
clang1 ; 1310.527 ; 16
clang1 ; 656.743 ; 32
clang1 ; 328.580 ; 64
clang1 ; 166.220 ; 128
