UNROLL4 ; MiB/s ; n
gcc1 ; 2489.155 ; 8
gcc1 ; 1338.573 ; 16
gcc1 ; 699.970 ; 32
gcc1 ; 337.182 ; 64
gcc1 ; 167.476 ; 128
