UNROLL4 ; MiB/s ; n
gcc3 ; 2995.996 ; 8
gcc3 ; 2069.973 ; 16
gcc3 ; 1123.802 ; 32
gcc3 ; 436.589 ; 64
gcc3 ; 260.289 ; 128
