UNROLL8 ; MiB/s ; n
clang3 ; 2547.591 ; 8
clang3 ; 1064.558 ; 16
clang3 ; 664.049 ; 32
clang3 ; 349.899 ; 64
clang3 ; 179.187 ; 128
