UNROLL4 ; MiB/s ; n
clang2 ; 1778.496 ; 8
clang2 ; 1245.761 ; 16
clang2 ; 685.084 ; 32
clang2 ; 363.614 ; 64
clang2 ; 187.122 ; 128
