UNROLL4 ; MiB/s ; n
gcc0 ; 347.184 ; 8
gcc0 ; 179.474 ; 16
gcc0 ; 91.898 ; 32
gcc0 ; 46.512 ; 64
gcc0 ; 23.330 ; 128
