IJK ; MiB/s ; n
gcc2 ; 2060.171 ; 8
gcc2 ; 672.749 ; 16
gcc2 ; 418.469 ; 32
gcc2 ; 198.664 ; 64
gcc2 ; 60.455 ; 128
