CBLAS ; MiB/s ; n
clang2 ; 19811.411 ; 8
clang2 ; 12746.627 ; 16
clang2 ; 12618.973 ; 32
clang2 ; 19455.500 ; 64
clang2 ; 13458.662 ; 128
clang2 ; 11644.775 ; 256
clang2 ; 10924.230 ; 512
clang2 ; 10592.686 ; 1024
clang2 ; 10410.841 ; 2048
clang2 ; 10344.845 ; 4096
clang2 ; 10285.998 ; 8192
clang2 ; 10277.254 ; 16384
clang2 ; 10267.723 ; 32768
clang2 ; 10252.752 ; 65536
