CBLAS ; MiB/s ; n
gcc2 ; 11436.216 ; 8
gcc2 ; 14693.774 ; 16
gcc2 ; 11846.945 ; 32
gcc2 ; 8513.125 ; 64
gcc2 ; 13368.992 ; 128
gcc2 ; 5168.881 ; 256
gcc2 ; 10914.952 ; 512
gcc2 ; 10587.545 ; 1024
gcc2 ; 10431.540 ; 2048
gcc2 ; 10319.955 ; 4096
gcc2 ; 10285.126 ; 8192
gcc2 ; 10274.014 ; 16384
gcc2 ; 10267.099 ; 32768
gcc2 ; 10267.368 ; 65536
