CBLAS ; MiB/s ; n
gcc2 ; 12684.596 ; 8
gcc2 ; 17710.441 ; 16
gcc2 ; 6925.118 ; 32
gcc2 ; 6844.536 ; 64
gcc2 ; 11790.206 ; 128
gcc2 ; 10983.832 ; 256
gcc2 ; 10620.110 ; 512
gcc2 ; 10447.366 ; 1024
gcc2 ; 10346.701 ; 2048
gcc2 ; 10290.786 ; 4096
gcc2 ; 10245.049 ; 8192
gcc2 ; 10258.707 ; 16384
gcc2 ; 10245.459 ; 32768
gcc2 ; 10254.782 ; 65536
