CBLAS ; MiB/s ; n
gcc3 ; 15396.638 ; 8
gcc3 ; 10588.178 ; 16
gcc3 ; 10381.863 ; 32
gcc3 ; 18339.597 ; 64
gcc3 ; 6001.493 ; 128
gcc3 ; 5188.969 ; 256
gcc3 ; 10932.653 ; 512
gcc3 ; 10594.955 ; 1024
gcc3 ; 10412.568 ; 2048
gcc3 ; 10337.322 ; 4096
gcc3 ; 10286.278 ; 8192
gcc3 ; 10267.125 ; 16384
gcc3 ; 10275.092 ; 32768
gcc3 ; 10263.247 ; 65536
