CBLAS ; MiB/s ; n
gcc1 ; 1857.822 ; 8
gcc1 ; 3329.607 ; 16
gcc1 ; 5664.262 ; 32
gcc1 ; 8665.031 ; 64
gcc1 ; 11735.561 ; 128
gcc1 ; 31876.405 ; 256
gcc1 ; 36034.173 ; 512
gcc1 ; 38372.223 ; 1024
gcc1 ; 39700.015 ; 2048
gcc1 ; 40351.315 ; 4096
gcc1 ; 40647.408 ; 8192
gcc1 ; 40791.283 ; 16384
gcc1 ; 40894.147 ; 32768
gcc1 ; 27229.101 ; 65536
