CBLAS ; MiB/s ; n
clang3 ; 9369.507 ; 8
clang3 ; 11030.999 ; 16
clang3 ; 12266.732 ; 32
clang3 ; 8627.073 ; 64
clang3 ; 13558.008 ; 128
clang3 ; 11692.852 ; 256
clang3 ; 10942.806 ; 512
clang3 ; 10578.580 ; 1024
clang3 ; 10416.514 ; 2048
clang3 ; 10317.346 ; 4096
clang3 ; 10276.925 ; 8192
clang3 ; 10266.312 ; 16384
clang3 ; 10258.251 ; 32768
clang3 ; 10255.596 ; 65536
