CBLAS ; MiB/s ; n
clang2 ; 1913.333 ; 8
clang2 ; 3477.960 ; 16
clang2 ; 5793.997 ; 32
clang2 ; 8801.574 ; 64
clang2 ; 11963.154 ; 128
clang2 ; 32357.463 ; 256
clang2 ; 36125.979 ; 512
clang2 ; 38478.781 ; 1024
clang2 ; 39728.008 ; 2048
clang2 ; 40386.895 ; 4096
clang2 ; 40654.182 ; 8192
clang2 ; 40838.692 ; 16384
clang2 ; 40743.070 ; 32768
clang2 ; 24801.113 ; 65536
