BASE ; MiB/s
gcc0 ; 2810.501
gcc1 ; 10448.161
gcc2 ; 10447.366
gcc3 ; 10581.343
gccfast ; 21218.977
clang0 ; 2805.722
clang1 ; 10452.796
clang2 ; 10592.027
clang3 ; 10578.580
clangfast ; 25764.854
