CBLAS ; MiB/s
gcc0 ; 40858.495
gcc1 ; 40894.147
gcc2 ; 40918.978
gcc3 ; 40867.045
gccfast ; 40837.608
clang0 ; 40906.528
clang1 ; 40904.795
clang2 ; 40743.070
clang3 ; 40852.297
clangfast ; 34662.074
