BASE ; MiB/s
gcc0 ; 2857.940
gcc1 ; 10981.053
gcc2 ; 10983.832
gcc3 ; 11598.357
gccfast ; 23324.156
clang0 ; 2860.088
clang1 ; 4862.085
clang2 ; 5179.467
clang3 ; 11692.852
clangfast ; 30294.162
