CBLAS ; MiB/s
gcc0 ; 40054.860
gcc1 ; 40351.315
gcc2 ; 40351.889
gcc3 ; 40348.110
gccfast ; 40367.110
clang0 ; 40183.316
clang1 ; 40374.294
clang2 ; 40386.895
clang3 ; 40417.690
clangfast ; 40401.807
