CBLAS ; MiB/s
gcc0 ; 40569.514
gcc1 ; 40647.408
gcc2 ; 40722.654
gcc3 ; 40636.706
gccfast ; 40585.989
clang0 ; 40549.405
clang1 ; 40663.703
clang2 ; 40654.182
clang3 ; 40672.281
clangfast ; 40659.549
