CBLAS ; MiB/s
gcc0 ; 24882.801
gcc1 ; 27229.101
gcc2 ; 26452.881
gcc3 ; 25221.124
gccfast ; 26792.237
clang0 ; 25216.104
clang1 ; 25343.368
clang2 ; 24801.113
clang3 ; 25670.347
clangfast ; 27313.918
