BASE ; MiB/s
gcc0 ; 3884.023
gcc1 ; 7782.143
gcc2 ; 17710.441
gcc3 ; 7334.726
gccfast ; 10607.610
clang0 ; 1706.105
clang1 ; 17347.588
clang2 ; 13951.991
clang3 ; 11030.999
clangfast ; 13170.967
