CBLAS ; MiB/s
gcc0 ; 34205.286
gcc1 ; 36034.173
gcc2 ; 35985.706
gcc3 ; 36028.070
gccfast ; 16037.407
clang0 ; 34828.402
clang1 ; 36058.915
clang2 ; 36125.979
clang3 ; 36196.680
clangfast ; 16105.777
