BASE ; MiB/s
gcc0 ; 2796.422
gcc1 ; 10254.435
gcc2 ; 10245.049
gcc3 ; 10271.487
gccfast ; 20575.569
clang0 ; 2795.693
clang1 ; 10276.427
clang2 ; 10280.967
clang3 ; 10276.925
clangfast ; 54763.158
