BASE ; MiB/s
gcc0 ; 2796.749
gcc1 ; 10247.389
gcc2 ; 10258.707
gcc3 ; 10258.559
gccfast ; 20479.595
clang0 ; 2796.780
clang1 ; 10264.983
clang2 ; 10282.279
clang3 ; 10266.312
clangfast ; 54691.298
